Var1,Freq
Magnolia nilagirica,1
Malanea boliviana,8
Mallotus japonicus,8
Mallotus lancifolius,2
Mallotus muticus,3
Malouetia tamaquarina,3
Malpighia albiflora,1
Malpighia emarginata,1
Malus fusca,1
Mandevilla hirsuta,2
Mandevilla veraguasensis,1
Manihot anomala,1
Manihot chlorosticta,1
Manihot esculenta,8
Manilkara discolor,1
Manilkara zapota,3
Maprounea guianensis,4
Marcgravia nervosa,6
Marcgravia rectiflora,1
Marcgravia trianae,1
Maripa nicaraguensis,1
Maripa peruviana,2
Mastixia rostrata,1
Matayba elegans,1
Matisia castano,1
Matisia coloradorum,1
Mauria heterophylla,1
Mayna grandifolia,2
Maytenus clarendonensis,1
Maytenus ebenifolia,2
Maytenus laevigata,1
Medicago lupulina,1
Melicope lunu-ankenda,1
Melicope xanthoxyloides,1
Meliosma allenii,1
Meliosma pittieriana,1
Memecylon bakerianum,1
Memecylon paniculatum,5
Memecylon wallichii,1
Mendoncia brenesii,1
Mendoncia glabra,3
Mendoncia lindaviana,1
Mendoncia pennellii,1
Mesechites trifidus,9
Metrodorea flavida,1
Miconia aequatorialis,1
Miconia ampla,1
Miconia aulocalyx,1
Miconia elongata,1
Miconia tomentosa,1
Microdesmis caseariifolia,6
Microdesmis haumaniana,5
Micromelum integerrimum,3
Mikania angularis,1
Mimosa pigra,4
Mitracarpus hirtus,6
Mitrephora polypyrena,1
Monanthotaxis parvifolia,13
Montrouziera gabriellae,1
Morinda lucida,2
Mosquitoxylum jamaicense,4
Moultonianthus leembruggianus,1
Mouriri myrtilloides,1
Moutabea aculeata,1
Mucuna holtonii,6
Mucuna mutisiana,1
Mucuna poggei,6
Murraya paniculata,1
Mussaenda pubescens,1
Myracrodruon urundeuva,1
Myrcia spectabilis,1
Myrciaria tenella,5
Myristica iners,8
Myroxylon balsamum,1
Myroxylon peruiferum,2
Myrrhinium atropurpureum,6
Myrsine cubana,1
Napoleonaea vogelii,1
Nauclea officinalis,1
Naucleopsis naga,3
Naucleopsis straminea,1
Nectandra hihua,1
Neea macrophylla,1
Neea verticillata,1
Neonauclea excelsa,2
Neoraputia paraensis,8
Neosprucea grandiflora,1
Nephrolepis undulata,1
Noronhia seyrigii,1
Nothofagus obliqua,1
Nothotalisia peruviana,1
Notopleura macrophylla,4
Ochna pygmaea,11
Ocotea aciphylla,1
Ocotea amazonica,1
Ocotea argyrophylla,1
Ocotea bourgeauviana,1
Ocotea cujumary,1
Ocotea sulcata,1
Odontadenia verrucosa,1
Oncotheca balansae,1
Oreopanax confusus,1
Oreopanax echinops,2
Oreopanax standleyi,1
Ormosia panamensis,1
Osmanthus heterophyllus,1
Otoba acuminata,1
Otoba glycycarpa,1
Ouratea multiflora,3
Oxalis corniculata,1
Oxandra espintana,7
Oxandra polyantha,8
Oxandra xylopioides,1
Pachira brevipes,1
Pachyptera kerere,1
Pachystachys coccinea,1
Palicourea grandiflora,6
Palicourea guianensis,1
Palicourea hospitalis,2
Palicourea pyramidalis,1
Palicourea roseocremea,1
Pandanus candelabrum,2
Panopsis rubescens,1
Paraia bracteata,2
Parapiptadenia excelsa,1
Parinari costata,1
Parishia insignis,1
Parkia igneiflora,1
Parkia singularis,1
Parochetus communis,7
Passiflora foetida,1
Passiflora holosericea,1
Passiflora multiflora,1
Passiflora nitida,7
Passiflora oerstedii,2
Paullinia cupana,1
Paullinia cururu,1
Paullinia elegans,1
Paullinia enneaphylla,1
Paullinia fissistipula,1
Paullinia granatensis,1
Paullinia paullinioides,1
Pausandra martini,1
Pausandra morisiana,1
Pausandra trianae,2
Pentaclethra macroloba,1
Pentagonia subauriculata,1
Peperomia inaequalifolia,1
Pera glabrata,2
Perebea longepedunculata,3
Perebea mollis,1
Peritassa laevigata,1
Perrottetia gentryi,1
Perrottetia ovata,1
Persea americana,2
Persea lingue,1
Persea ruizii,1
Petasites hybridus,1
Philodendron ernestii,1
Philodendron fragrantissimum,1
Philodendron purpureoviride,1
Philodendron tenue,1
Philodendron verrucosum,1
Phyllanthus amarus,2
Phyllanthus emblica,2
Phyllanthus juglandifolius,1
Phyllanthus maderaspatensis,9
Phyllanthus parvulus,3
Phyllanthus reticulatus,4
Physalis angulata,1
Physalis lagascae,1
Physena madagascariensis,10
Physena sessiliflora,5
Phytelephas macrocarpa,1
Picea engelmannii,1
Pilocarpus goudotianus,6
Pilocarpus pennatifolius,2
Pilocarpus racemosus,4
Pimelodendron griffithianum,5
Pinanga insignis,4
Pinochia peninsularis,3
Pinus patula,2
Piper gibbosum,1
Piper glabrescens,9
Piper hieronymi,3
Piper hylophilum,1
Piper imperiale,1
Piper ostii,1
Piper tuberculatum,3
Piper viridicaule,1
Piptadenia peruviana,1
Pisonia aculeata,1
Pittosporum pronyense,1
Pityrogramma calomelanos,1
Placodiscus riparius,1
Planchonella thiensis,1
Platymiscium lasiocarpum,1
Pleiocarpa rostrata,1
Pleurocalyptus pancheri,1
Pleurostylia leucocarpa,1
Poa nemoralis,1
Poa trivialis,1
Podocarpus matudae,1
Podocarpus nubigenus,1
Pogonopus speciosus,1
Polybotrya altescandens,1
Polybotrya appressa,1
Polybotrya caudata,1
Polyscias australiana,1
Polyscias dioica,2
Polyscias otopyrena,1
Polystichum discretum,1
Popowia pisocarpa,1
Populus balsamifera,2
Populus grandidentata,1
Populus nigra,1
Populus tremula,1
Populus tremuloides,1
Poraqueiba guianensis,1
Porcelia nitidifolia,1
Porterandia anisophylla,1
Posoqueria coriacea,2
Posoqueria grandiflora,1
Posoqueria latifolia,1
Potalia amara,1
Potalia turbinata,1
Pothos tener,1
Poulsenia armata,1
Pourouma bicolor,6
Pourouma cecropiifolia,2
Pourouma cucura,1
Pourouma cuspidata,1
Pourouma guianensis,2
Pourouma hirsutipetiolata,1
Pourouma melinonii,1
Pourouma minor,1
Pourouma mollis,1
Pourouma napoensis,1
Pourouma ovata,1
Pourouma petiolulata,1
Pourouma tomentosa,1
Pourouma velutina,1
Pouteria amygdalicarpa,1
Pouteria aubrevillei,1
Prestonia robusta,5
Protium demerarense,1
Protium ferrugineum,1
Protium nitidifolium,1
Protium pallidum,1
Protium trifoliolatum,1
Protium widgrenii,1
Prumnopitys montana,1
Prunus subcorymbosa,1
Psammisia debilis,1
Psammisia williamsii,2
Pseudobombax longiflorum,2
Pseudoclausena chrysogyne,1
Pseudosenefeldera inclinata,11
Psiguria warscewiczii,1
Psychotria asiatica,5
Psychotria biaristata,2
Psychotria cupularis,1
Psychotria dallachiana,1
Psychotria fortuita,1
Psychotria grandis,1
Psychotria horizontalis,1
Psychotria marginata,1
Psychotria nuda,1
Psychotria panamensis,1
Psychotria parvifolia,1
Psychotria pichisensis,1
Psychotria remota,1
Psychotria rufiramea,2
Psychotria simmondsiana,3
Psychotria suterella,1
Psychotria sylvivaga,1
Psychotria trichotoma,1
Psychotria trivialis,1
Psychotria viridis,1
Pteridium aquilinum,4
Pteris altissima,1
Pteris livida,1
Pternandra azurea,1
Pternandra echinata,1
Pternandra hirtella,1
Pterocarpus amazonum,1
Pterocarpus dalbergioides,1
Pterocarpus macrocarpus,1
Pterocarpus officinalis,1
Pterocarpus orbiculatus,1
Pterocarpus rohrii,11
Pterodon emarginatus,1
Pteropepon acariaeanthus,1
Pterygota excelsa,1
Ptychopyxis bacciformis,1
Ptychopyxis costata,1
Ptychosperma elegans,1
Pueraria montana,1
Purshia plicata,3
Pyrenacantha glabrescens,1
Pyrostegia venusta,1
Quararibea costaricensis,1
Quararibea duckei,1
Quercus virginiana,3
Quiina amazonica,1
Quiina cruegeriana,1
Quiina florida,6
Quiina macrophylla,1
Quiina paraensis,1
Radermachera sinica,1
Radermachera xylocarpa,1
Rafnia triflora,2
Randia aculeata,1
Randia altiscandens,8
Randia armata,1
Randia brenesii,1
Randia calycina,1
Randia calycosa,1
Randia genipoides,1
Randia lasiantha,1
Randia monantha,1
Rauvolfia obtusiflora,1
Rauvolfia praecox,1
Rauvolfia purpurascens,1
Rauvolfia viridis,9
Rauvolfia vomitoria,1
Ravenea lakatra,2
Reinwardtiodendron cinereum,1
Remijia tenuiflora,1
Retrophyllum rospigliosii,1
Rhamnidium elaeocarpum,1
Rhamnus diffusa,1
Rhamnus glandulosa,1
Rhaphiostylis beninensis,1
Rhaphiostylis elegans,2
Rhaphiostylis preussii,1
Rhigospira quadrangularis,1
Rhigozum madagascariense,1
Rhodamnia cinerea,1
Rhodocolea involucrata,1
Rhododendron arborescens,1
Richardia scabra,4
Robinia pseudoacacia,1
Rourea glabra,1
Rourea suerrensis,1
Rubus apetalus,8
Ruprechtia apetala,1
Ryparosa baccaureoides,1
Rytigynia orbicularis,2
Salacia alwynii,1
Salacia longipes,1
Salacia regeliana,1
Salix caprea,1
Sanchezia sprucei,6
Sandwithia guyanensis,1
Sapium macrocarpum,6
Sapranthus palanga,1
Schinus pilifera,2
Schizocalyx obovatus,7
Schizocalyx peruvianus,5
Schizocalyx veraguensis,2
Schlegelia fastigiata,1
Schlegelia fuscata,1
Schlegelia nicaraguensis,1
Schlegelia sulphurea,1
Schoepfia obovata,1
Scleronema micranthum,5
Scolopia orientalis,1
Scoparia dulcis,2
Searsia natalensis,28
Sebastiania brasiliensis,17
Seguieria macrophylla,1
Selaginella protensa,1
Semecarpus longifolius,2
Semialarium mexicanum,1
Semialarium paniculatum,1
Senefeldera triandra,1
Senefeldera verticillata,2
Senegalia alemquerensis,2
Senegalia altiscandens,7
Senegalia bonariensis,1
Senegalia hayesii,2
Senegalia huberi,7
Senegalia kamerunensis,1
Senegalia kuhlmannii,1
Senegalia loretensis,2
Senegalia macbridei,1
Senegalia polyphylla,3
Senegalia praecox,1
Senegalia riparia,1
Senegalia tenuifolia,1
Senna atomaria,2
Senna bacillaris,1
Senna candolleana,1
Senna chloroclada,2
Senna fruticosa,1
Senna herzogii,2
